"ï..key","f_alta","genero","edad","sucursal","div","num_ventas","sueldo_prom","antiguedad","num_trabajos_previos","edo_civil","experiencia","escolaridad","salario_diario_ant","num_dias","rotacion","dependientes","incremento","mes"
17424,"14-Dec-15",1,25,"CD. JUAREZ BARRANCAS",1,2,622.0143,7,1,2,1,2,12068.8,56,1,3,0.051539,12
17425,"14-Dec-15",0,41,"CULIACAN",1,17,8088.4364,21,8,1,2,2,6110.3999,294,0,1,1.323716,12
17426,"14-Dec-15",0,41,"CULIACAN",1,17,8088.4364,21,4,1,2,2,5958.3999,294,0,1,1.357485,12
17427,"14-Dec-15",1,39,"TORREON",1,10,1707.7575,19,4,2,2,1,2340.8,126,1,3,0.7295614,12
17428,"14-Dec-15",1,25,"CD. OBREGON",1,14,10625.255,1,0,2,2,2,5046.3999,137,1,3,2.105512,12
17429,"14-Dec-15",1,31,"TLALPAN",2,3,377.20948,10,2,1,1,2,3617.6001,70,1,2,0.1042706,12
17430,"14-Dec-15",1,32,"ALTAVISTA",2,26,12303.682,12,2,1,1,2,9880,298,0,2,1.245312,12
17431,"14-Dec-15",0,26,"TORREON",1,6,3607.6829,1,0,1,2,1,3952,91,1,1,0.9128752,12
17432,"14-Dec-15",0,30,"CULIACAN",1,1,50.0112,6,1,2,2,2,6627.2002,57,1,3,0.0075464,12
17434,"14-Dec-15",1,28,"XOLA",2,21,11537.084,10,3,2,1,1,12099.2,318,0,1,0.953541,12
17435,"14-Dec-15",1,24,"CD. JUAREZ ATLANTIS",1,2,162.5364,8,1,1,2,2,6596.7998,58,1,1,0.0246387,12
17436,"14-Dec-15",1,28,"LINDAVISTA",2,6,7898.6439,4,1,2,1,2,10457.6,135,1,1,0.7553018,12
17437,"14-Dec-15",0,24,"MONTERREY CUMBRES",1,2,264.18416,4,1,2,2,2,1976,50,1,3,0.1336964,12
17438,"14-Dec-15",1,29,"TLAXCALA",2,5,2860.6406,4,2,1,2,2,2766.3999,84,1,1,1.034066,12
17441,"14-Dec-15",0,41,"NUEVO LAREDO",1,11,3031.0538,16,3,1,2,2,2918.3999,198,0,1,1.038601,12
