"","key","f_alta","genero","edad","sucursal","div","num_ventas","sueldo_prom","antigüedad","num_trabajos_previos","edo_civil","experiencia","escolaridad","salario_diario_ant","num_dias","rotacion","dependientes","incremento","antiguedad","grupo_edad","grupo_sueldo"
"151",14115,"19-Jan-15",1,28,"MONTERREY SENDERO",1,2,1268.5132,11,2,NA,NA,NA,8755.2002,24,0,NA,0.1448868,11,2,1
"152",14116,"19-Jan-15",0,24,"ARANDAS",1,5,4068.4372,4,1,NA,NA,NA,1702.4,49,0,NA,2.389824,4,1,2
"153",14117,"19-Jan-15",0,26,"REFORMA",2,5,3737.8683,9,2,NA,NA,NA,23924.801,77,0,NA,0.156234,9,1,2
"154",14118,"19-Jan-15",0,25,"CD. OBREGON",1,24,17513.063,3,0,NA,NA,NA,7235.2002,241,1,NA,2.420536,3,1,3
"155",14119,"19-Jan-15",0,50,"LEON",1,5,4303.4377,15,3,NA,NA,NA,6870.3999,182,1,NA,0.6263737,15,3,2
"156",14120,"19-Jan-15",0,25,"CD. JUAREZ BARRANCAS",1,6,4404.8406,7,2,NA,NA,NA,15534.4,42,0,NA,0.283554,7,1,2
"157",14121,"19-Jan-15",1,32,"TORREON COMARCA",1,15,13697.859,13,5,NA,NA,NA,10336,122,0,NA,1.325257,13,2,3
"158",14122,"19-Jan-15",0,37,"MONTERREY TECNOLOGICO",1,12,9618.4561,15,6,NA,NA,NA,912,134,0,NA,10.54655,15,2,2
"159",14123,"19-Jan-15",1,37,"GUADALAJARA MINERVA",1,5,2765.2026,21,3,NA,NA,NA,3070.3999,53,0,NA,0.9006001,21,2,2
"160",14124,"19-Jan-15",1,50,"LEON",1,5,2884.4741,32,7,NA,NA,NA,2644.8,86,0,NA,1.090621,32,3,2
"161",14126,"19-Jan-15",1,50,"QUERETARO ARCOS",1,4,1577.2282,31,8,NA,NA,NA,11643.2,43,0,NA,0.1354635,31,3,1
"162",14127,"26-Jan-15",0,26,"ENSENADA",1,7,8437.2541,5,1,NA,NA,NA,4499.2002,80,0,NA,1.875279,5,1,2
"163",14128,"26-Jan-15",0,34,"SATELITE",2,4,3005.6471,14,2,NA,NA,NA,5259.2002,52,0,NA,0.5715027,14,2,2
"164",14129,"26-Jan-15",1,32,"MARINA NACIONAL",2,17,6143.7717,12,3,NA,NA,NA,7113.6001,164,0,NA,0.8636656,12,2,2
"165",14130,"26-Jan-15",1,31,"VIADUCTO",2,1,625.14,11,2,NA,NA,NA,15260.8,42,0,NA,0.0409638,11,2,1
"166",14131,"26-Jan-15",0,25,"CHAPALA",1,10,3422.1622,NA,NA,NA,NA,NA,NA,43,0,NA,NA,NA,1,2
"167",14132,"26-Jan-15",1,25,"CHIHUAHUA VILLA",1,2,377.68875,1,0,NA,NA,NA,7873.6001,43,0,NA,0.047969,1,1,1
"168",14133,"26-Jan-15",0,37,"CORREGIDORA",1,17,4998.4111,21,3,NA,NA,NA,1459.2,815,1,NA,3.425446,21,2,2
"169",14134,"26-Jan-15",1,27,"PALACIO",2,1,151.0755,8,2,NA,NA,NA,1550.4,14,0,NA,0.0974429,8,1,1
"170",14135,"26-Jan-15",0,43,"ENSENADA",1,18,8158.0249,24,4,NA,NA,NA,5806.3999,421,1,NA,1.405006,24,2,2
"171",14136,"26-Jan-15",1,34,"REYNOSA FRONTERA",1,25,4956.808,17,4,NA,NA,NA,6688,154,0,NA,0.7411495,17,2,2
"172",14137,"26-Jan-15",0,29,"CAMPECHE",2,10,2501.6019,9,1,NA,NA,NA,6505.6001,77,0,NA,0.3845305,9,2,2
"173",14138,"26-Jan-15",0,31,"MONTERREY SANTA LUCIA",1,8,7184.609,13,5,NA,NA,NA,3648,98,0,NA,1.969465,13,2,2
"174",14139,"26-Jan-15",0,35,"CUAUTITLAN",2,4,787.10335,18,4,NA,NA,NA,2280,29,0,NA,0.3452208,18,2,1
"175",14140,"26-Jan-15",0,37,"DURANGO",1,33,16077.351,20,10,NA,NA,NA,4286.3999,339,1,NA,3.750782,20,2,3
"176",14141,"26-Jan-15",0,27,"GUADALAJARA TONALA",1,3,2491.235,NA,NA,NA,NA,NA,NA,53,0,NA,NA,NA,1,2
