key,f_alta,genero,edad,sucursal,div,num_ventas,sueldo_prom,antigüedad,num_trabajos_previos,edo_civil,experiencia,escolaridad,salario_diario_ant,num_dias,target
14215,03-Feb-15,1,28,CULIACAN HUMAYA,1,1,377.68875,11,2.9647575,NA,NA,NA,223,73,0
14216,03-Feb-15,0,23,ESCANDON,2,18,19757.237,4,0.86814249,NA,NA,NA,188,251,1
14217,03-Feb-15,1,53,MONTERREY LAS TORRES,1,3,1057.5285,36,7.7743803,NA,NA,NA,205,108,0
14218,03-Feb-15,1,51,QUERETARO ACUEDUCTO,1,17,10995.692,28,6.0775807,NA,NA,NA,84,401,1
14219,03-Feb-15,1,48,CHIHUAHUA PARRAL,1,18,24712.878,25,5.1800918,NA,NA,NA,269,442,1
14220,03-Feb-15,1,25,MONTERREY LEONES,1,8,3602.5255,5,0.92621515,NA,NA,NA,71,76,0
14221,03-Feb-15,0,27,CUERNAVACA MORELOS,2,8,1395.6355,2,0.85476441,NA,NA,NA,485,43,0
14222,03-Feb-15,1,47,CD. JUAREZ ATLANTIS,1,24,13154.534,33,6.3287314,NA,NA,NA,60,384,1
14223,03-Feb-15,0,29,ESCANDON,2,1,3079.6741,,,NA,NA,NA,,35,0
14224,03-Feb-15,1,30,QUERETARO ACUEDUCTO,1,19,5815.99,11,1.8841121,NA,NA,NA,94,251,1
14225,03-Feb-15,0,31,MONTERREY VOLCAN,1,5,1907.5887,,,NA,NA,NA,,78,0
14226,03-Feb-15,1,28,MONTERREY VALLE ALTO,1,3,2780.8571,,,NA,NA,NA,,80,0
14227,03-Feb-15,0,32,QUERETARO ACUEDUCTO,1,11,3036.8468,7,1.6921074,NA,NA,NA,58,90,0
14228,03-Feb-15,0,32,QUERETARO ACUEDUCTO,1,11,3036.8468,7,1.1658531,NA,NA,NA,249,90,0
14229,03-Feb-15,1,31,CHIHUAHUA PARRAL,1,12,3250.5613,12,1.9718331,NA,NA,NA,248,92,0
14230,03-Feb-15,0,52,GUADALAJARA TONALA,1,15,9650.208,33,6.0091824,NA,NA,NA,120,570,1
14231,03-Feb-15,0,26,CHIHUAHUA VILLA,1,5,1571.1852,8,2.0919831,NA,NA,NA,246,56,0
14232,03-Feb-15,1,26,NA,2,1,625.14,7,1.242809,NA,NA,NA,273,64,0
14233,03-Feb-15,0,27,ESCANDON,2,3,2899.1388,,,NA,NA,NA,,23,0
